Type,h,obs.error.type,HCR,recruit.sd,recruit.rho,M.type,scenario,LTmeancatch,LTnonzeromeancatch,SDcatch,n.5yrclose,n.10yrclose,nyrs0catch,meanbiomass,good4preds,SDbiomass,very.bad4preds,meanDepl,overallMaxCollapseLength,overallMaxBonanzaLength,BonanzaLength,CollapseLength
Menhaden,0.6,AC,cfp,0.8,0.2,constant,2,25100.09615,52916.56852,42126.56186,0.153846154,0,52,115667.4267,1,57753.9731,26,0.29869472,21,3,1,3
Menhaden,0.6,Tim,cfp,0.8,0.2,constant,4,26131.64341,40578.0102,38944.4736,0.391304348,0,36,132860.6833,3,75614.30066,24,0.343093866,22,5,2,3.833333333
Menhaden,0.6,AC,constF,0.8,0.2,constant,6,15878.27932,15878.27932,11207.03469,0,0,0,60056.11431,0,39578.48791,76,0.155086395,100,5,2,15.8
Menhaden,0.6,Tim,constF,0.8,0.2,constant,8,15878.27939,15878.27939,11207.03512,0,0,0,60056.11267,0,39578.48745,76,0.155086391,100,5,2,15.8
Menhaden,0.6,AC,C1,0.8,0.2,constant,10,24980.54223,35097.9591,30397.32151,0.098780488,0,29,261393.4667,22,93220.58612,0,0.675011545,3,21,3.375,1
Menhaden,0.6,Tim,C1,0.8,0.2,constant,12,24152.48963,28055.81832,25404.85764,0.208333333,0,13,265071.7515,25,105424.001,0,0.684510194,5,21,4.166666667,2
Menhaden,0.6,AC,C2,0.8,0.2,constant,14,27946.40069,27959.00901,24196.64449,0,0,0,229542.9978,15,88885.79492,0,0.592762227,8,18,3.2,2
Menhaden,0.6,Tim,C2,0.8,0.2,constant,16,27303.24813,27303.24813,20108.91216,0,0,0,231418.7686,17,99052.16057,0,0.597606139,9,18,3.75,2
Menhaden,0.6,AC,C3,0.8,0.2,constant,18,28718.01925,63318.41657,55154.33015,0.158910534,0,55,204159.1965,8,77653.32002,0,0.527212162,9,10,1.75,1.5
Menhaden,0.6,Tim,C3,0.8,0.2,constant,20,27739.93545,39633.62481,37719.34267,0.304347826,0,30,226770.289,15,93714.43556,0,0.5856021,9,13,2.857142857,2
Menhaden,0.6,AC,trend,0.8,0.2,constant,22,26162.44941,118556.3927,57178.51521,0.210526316,0.25,78,194269.6363,12,99993.7576,7,0.501673776,30,23,2.5,2
Menhaden,0.6,Tim,trend,0.8,0.2,constant,24,27980.66503,116480.0646,56163.12354,0.210526316,0,76,176654.5238,7,85250.5286,7,0.456185246,31,14,2,2
Anchovy,0.6,AC,cfp,0.6,0.5,constant,2,1728.26033,2967.264598,2193.994763,0.045983087,0,42,5476.643901,5,2812.794927,11,0.488997153,13,9,2,2.142857143
Anchovy,0.6,Tim,cfp,0.6,0.5,constant,4,1551.998449,2071.07569,1957.650871,0.230769231,0,25,5713.664871,8,3359.221685,15,0.51016022,14,9,2.333333333,3
Anchovy,0.6,AC,constF,0.6,0.5,constant,6,902.7860424,902.7860424,768.791787,0,0,0,3218.218641,2,2560.516267,54,0.287347467,81,12,2,9.333333333
Anchovy,0.6,Tim,constF,0.6,0.5,constant,8,902.786047,902.786047,768.7917818,0,0,0,3218.218679,2,2560.516272,54,0.287347471,81,12,2,9.333333333
